category,year_month,count
CRIME,2021-11,6
CRIME,2021-12,7
CRIME,2022-01,7
CRIME,2022-02,3
CRIME,2022-03,4
CRIME,2022-04,4
CRIME,2022-05,9
CRIME,2022-06,3
CRIME,2022-07,2
CRIME,2022-08,5
CRIME,2022-09,1
CULTURE & ARTS,2012-01,3
CULTURE & ARTS,2012-02,25
CULTURE & ARTS,2012-03,21
CULTURE & ARTS,2012-04,25
CULTURE & ARTS,2012-05,27
CULTURE & ARTS,2012-06,31
CULTURE & ARTS,2012-07,33
CULTURE & ARTS,2012-08,30
CULTURE & ARTS,2012-09,36
CULTURE & ARTS,2012-10,37
CULTURE & ARTS,2012-11,38
CULTURE & ARTS,2012-12,37
CULTURE & ARTS,2013-01,40
CULTURE & ARTS,2013-02,41
CULTURE & ARTS,2013-03,68
CULTURE & ARTS,2013-04,63
CULTURE & ARTS,2013-05,68
CULTURE & ARTS,2013-06,35
CULTURE & ARTS,2013-07,46
CULTURE & ARTS,2013-08,36
CULTURE & ARTS,2013-09,38
CULTURE & ARTS,2013-10,32
CULTURE & ARTS,2013-11,54
CULTURE & ARTS,2013-12,37
CULTURE & ARTS,2014-01,30
CULTURE & ARTS,2014-02,32
CULTURE & ARTS,2014-03,49
CULTURE & ARTS,2014-04,18
CULTURE & ARTS,2018-10,1
CULTURE & ARTS,2018-11,1
CULTURE & ARTS,2019-01,1
CULTURE & ARTS,2019-02,2
CULTURE & ARTS,2019-09,1
CULTURE & ARTS,2020-04,2
CULTURE & ARTS,2020-05,1
CULTURE & ARTS,2020-06,1
CULTURE & ARTS,2020-08,1
CULTURE & ARTS,2020-10,1
CULTURE & ARTS,2020-11,3
CULTURE & ARTS,2020-12,3
CULTURE & ARTS,2021-05,1
CULTURE & ARTS,2021-07,1
CULTURE & ARTS,2021-09,1
CULTURE & ARTS,2022-05,9
CULTURE & ARTS,2022-06,4
CULTURE & ARTS,2022-07,2
CULTURE & ARTS,2022-08,3
CULTURE & ARTS,2022-09,5
DIVORCE,2012-01,13
DIVORCE,2012-02,126
DIVORCE,2012-03,127
DIVORCE,2012-04,127
DIVORCE,2012-05,133
DIVORCE,2012-06,128
DIVORCE,2012-07,91
DIVORCE,2012-08,101
DIVORCE,2012-09,75
DIVORCE,2012-10,115
DIVORCE,2012-11,110
DIVORCE,2012-12,110
DIVORCE,2013-01,122
DIVORCE,2013-02,91
DIVORCE,2013-03,110
DIVORCE,2013-04,166
DIVORCE,2013-05,199
DIVORCE,2013-06,212
DIVORCE,2013-07,178
DIVORCE,2013-08,222
DIVORCE,2013-09,135
DIVORCE,2013-10,121
DIVORCE,2013-11,119
DIVORCE,2013-12,97
DIVORCE,2014-01,115
DIVORCE,2014-02,97
DIVORCE,2014-03,124
DIVORCE,2014-04,62
EDUCATION,2014-04,19
EDUCATION,2014-05,47
EDUCATION,2014-06,27
EDUCATION,2014-07,47
EDUCATION,2014-08,34
EDUCATION,2014-09,34
EDUCATION,2014-10,35
EDUCATION,2014-11,36
EDUCATION,2014-12,44
EDUCATION,2015-01,38
EDUCATION,2015-02,35
EDUCATION,2015-03,36
EDUCATION,2015-04,54
EDUCATION,2015-05,62
